timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775665429834,104,JFED/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain-146,200,OK,JFED100 2-1,text,true,,5809,332,2,7,https://content-signature-2.cdn.mozilla.net/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain,96,0,0
1775665428666,1651,JFED/-149,200,OK,JFED100 2-2,text,false,"The operation lasted too long: It took 1,651 milliseconds, but should not have lasted longer than 600 milliseconds.",2486,442,2,7,https://jfed.ilabt.imec.be/,1650,0,1261
1775665429939,384,JFED/-148,400,Bad Request,JFED100 2-1,text,false,,229,1547,2,7,https://mozilla-ohttp.fastly-edge.com/,384,0,0
1775665430324,383,JFED/-149,200,OK,JFED100 2-1,text,true,,2485,442,2,7,https://jfed.ilabt.imec.be/,382,0,0
1775665430318,680,JFED/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e-150,200,OK,JFED100 2-2,text,false,"The operation lasted too long: It took 680 milliseconds, but should not have lasted longer than 600 milliseconds.",837,4069,3,8,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e,680,0,196
1775665430707,395,JFED/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e-150,200,OK,JFED100 2-1,text,true,,748,4069,3,8,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/7eaf7968-18c6-4240-af2d-e536a198970e,394,0,0
1775665430999,298,JFED/-155,400,Bad Request,JFED100 2-2,text,false,,229,1301,3,8,https://mozilla-ohttp.fastly-edge.com/,298,0,0
1775665430830,595,JFED/complete/search-144,200,OK,JFED100 2-3,text,true,,15981,281,3,8,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,594,0,278
1775665431103,421,JFED/-155,400,Bad Request,JFED100 2-1,text,false,,229,1301,3,8,https://mozilla-ohttp.fastly-edge.com/,421,0,0
1775665431525,142,JFED/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569-165,200,OK,JFED100 2-1,text,true,,921,748,3,8,https://www.google-analytics.com/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569,142,0,0
